Id,Date,Mid,Index,BPM,,,MusicJson,MusicName,Musician,ResInfo,ResVer,ResMd5
95,2018/10/17,400036,,,,,,,,,,
96,2018/10/18,400013,,,,,,,,,,
97,2018/10/19,400023,,,,,,,,,,
98,2018/10/20,400006,,,,,,,,,,
99,2018/10/21,400031,,,,,,,,,,
100,2018/10/22,400011,,,,,,,,,,
101,2018/10/23,400033,,,,,,,,,,
102,2018/10/24,400019,,,,,,,,,,
103,2018/10/25,400032,,,,,,,,,,
104,2018/10/26,400015,,,,,,,,,,
105,2018/10/27,400002,,,,,,,,,,
106,2018/10/28,400035,,,,,,,,,,
107,2018/10/29,400004,,,,,,,,,,
108,2018/10/30,400022,,,,,,,,,,
109,2018/10/31,400036,,,,,,,,,,
110,2018/11/1,400013,,,,,,,,,,
111,2018/11/2,400023,,,,,,,,,,
112,2018/11/3,400006,,,,,,,,,,
113,2018/11/4,400031,,,,,,,,,,
114,2018/11/5,400011,,,,,,,,,,
115,2018/11/6,400033,,,,,,,,,,
116,2018/11/7,400019,,,,,,,,,,
117,2018/11/8,400032,,,,,,,,,,
118,2018/11/9,400015,,,,,,,,,,
119,2018/11/10,400002,,,,,,,,,,
120,2018/11/11,400035,,,,,,,,,,
121,2018/11/12,400004,,,,,,,,,,
122,2018/11/13,400022,,,,,,,,,,
123,2018/11/14,400036,,,,,,,,,,
124,2018/11/15,400013,,,,,,,,,,
125,2018/11/16,400023,,,,,,,,,,
126,2018/11/17,400006,,,,,,,,,,
127,2018/11/18,400031,,,,,,,,,,
128,2018/11/19,400011,,,,,,,,,,
129,2018/11/20,400033,,,,,,,,,,
130,2018/11/21,400019,,,,,,,,,,
131,2018/11/22,400032,,,,,,,,,,
132,2018/11/23,400015,,,,,,,,,,
133,2018/11/24,400002,,,,,,,,,,
134,2018/11/25,400035,,,,,,,,,,
135,2018/11/26,400004,,,,,,,,,,
136,2018/11/27,400022,,,,,,,,,,
137,2018/11/28,400036,,,,,,,,,,
138,2018/11/29,400013,,,,,,,,,,
139,2018/11/30,400023,,,,,,,,,,
140,2018/12/1,400006,,,,,,,,,,
141,2018/12/2,400031,,,,,,,,,,
142,2018/12/3,400011,,,,,,,,,,
143,2018/12/4,400033,,,,,,,,,,
144,2018/12/5,400019,,,,,,,,,,
145,2018/12/6,400032,,,,,,,,,,
146,2018/12/7,400015,,,,,,,,,,
147,2018/12/8,400002,,,,,,,,,,
148,2018/12/9,400035,,,,,,,,,,
149,2018/12/10,400004,,,,,,,,,,
150,2018/12/11,400022,,,,,,,,,,
151,2018/12/12,400036,,,,,,,,,,
152,2018/12/13,400013,,,,,,,,,,
153,2018/12/14,400056,,,,,,,,,,
154,2018/12/15,400055,,,,,,,,,,
155,2018/12/16,400057,,,,,,,,,,
156,2018/12/17,400039,,,,,,,,,,
157,2018/12/18,400040,,,,,,,,,,
158,2018/12/19,400041,,,,,,,,,,
159,2018/12/20,400056,,,,,,,,,,
160,2018/12/21,400021,,,,,,,,,,
161,2018/12/22,400014,,,,,,,,,,
162,2018/12/23,400038,,,,,,,,,,
163,2018/12/24,400035,,,,,,,,,,
164,2018/12/25,400004,,,,,,,,,,
165,2018/12/26,400036,,,,,,,,,,
166,2018/12/27,400008,,,,,,,,,,
167,2018/12/28,400005,,,,,,,,,,
168,2018/12/29,400034,,,,,,,,,,
169,2018/12/30,400018,,,,,,,,,,
170,2018/12/31,400031,,,,,,,,,,
171,2019/1/1,400011,,,,,,,,,,
172,2019/1/2,400010,,,,,,,,,,
173,2019/1/3,400002,,,,,,,,,,
174,2019/1/4,400026,,,,,,,,,,
175,2019/1/5,400006,,,,,,,,,,
176,2019/1/6,400019,,,,,,,,,,
177,2019/1/7,400029,,,,,,,,,,
178,2019/1/8,400017,,,,,,,,,,
179,2019/1/9,400013,,,,,,,,,,
180,2019/1/10,400015,,,,,,,,,,
181,2019/1/11,400016,,,,,,,,,,
182,2019/1/12,400044,,,,,,,,,,
183,2019/1/13,400005,,,,,,,,,,
184,2019/1/14,400025,,,,,,,,,,
185,2019/1/15,400012,,,,,,,,,,
186,2019/1/16,400023,,,,,,,,,,
187,2019/1/17,400059,,,,,,,,,,
188,2019/1/18,400058,,,,,,,,,,
189,2019/1/19,400034,,,,,,,,,,
190,2019/1/20,400018,,,,,,,,,,
191,2019/1/21,400024,,,,,,,,,,
192,2019/1/22,400048,,,,,,,,,,
193,2019/1/23,400032,,,,,,,,,,
194,2019/1/24,400033,,,,,,,,,,
195,2019/1/25,400037,,,,,,,,,,
196,2019/1/26,400055,,,,,,,,,,
197,2019/1/27,400057,,,,,,,,,,
198,2019/1/28,400039,,,,,,,,,,
199,2019/1/29,400040,,,,,,,,,,
200,2019/1/30,400041,,,,,,,,,,
201,2019/1/31,400056,,,,,,,,,,
202,2019/2/1,400021,,,,,,,,,,
203,2019/2/2,400014,,,,,,,,,,
204,2019/2/3,400038,,,,,,,,,,
205,2019/2/4,400035,,,,,,,,,,
206,2019/2/5,400004,,,,,,,,,,
207,2019/2/6,400036,,,,,,,,,,
208,2019/2/7,400008,,,,,,,,,,
209,2019/2/8,400005,,,,,,,,,,
210,2019/2/9,400034,,,,,,,,,,
211,2019/2/10,400018,,,,,,,,,,
212,2019/2/11,400031,,,,,,,,,,
213,2019/2/12,400011,,,,,,,,,,
214,2019/2/13,400010,,,,,,,,,,
215,2019/2/14,400002,,,,,,,,,,
216,2019/2/15,400026,,,,,,,,,,
217,2019/2/16,400006,,,,,,,,,,
218,2019/2/17,400019,,,,,,,,,,
219,2019/2/18,400029,,,,,,,,,,
220,2019/2/19,400017,,,,,,,,,,
221,2019/2/20,400013,,,,,,,,,,
222,2019/2/21,400015,,,,,,,,,,
223,2019/2/22,400016,,,,,,,,,,
224,2019/2/23,400044,,,,,,,,,,
225,2019/2/24,400005,,,,,,,,,,
226,2019/2/25,400025,,,,,,,,,,
227,2019/2/26,400012,,,,,,,,,,
228,2019/2/27,400023,,,,,,,,,,
229,2019/2/28,400059,,,,,,,,,,
230,2019/3/1,400058,,,,,,,,,,
231,2019/3/2,400034,,,,,,,,,,
232,2019/3/3,400018,,,,,,,,,,
233,2019/3/4,400024,,,,,,,,,,
234,2019/3/5,400048,,,,,,,,,,
235,2019/3/6,400032,,,,,,,,,,
236,2019/3/7,400033,,,,,,,,,,
237,2019/3/8,400037,,,,,,,,,,
238,2019/3/9,400055,,,,,,,,,,
239,2019/3/10,400057,,,,,,,,,,
240,2019/3/11,400039,,,,,,,,,,
241,2019/3/12,400040,,,,,,,,,,
242,2019/3/13,400041,,,,,,,,,,
243,2019/3/14,400056,,,,,,,,,,
244,2019/3/15,400021,,,,,,,,,,
245,2019/3/16,400014,,,,,,,,,,
246,2019/3/17,400038,,,,,,,,,,
247,2019/3/18,400035,,,,,,,,,,
248,2019/3/19,400004,,,,,,,,,,
249,2019/3/20,400036,,,,,,,,,,
250,2019/3/21,400008,,,,,,,,,,
251,2019/3/22,400005,,,,,,,,,,
252,2019/3/23,400034,,,,,,,,,,
253,2019/3/24,400018,,,,,,,,,,
254,2019/3/25,400031,,,,,,,,,,
255,2019/3/26,400011,,,,,,,,,,
256,2019/3/27,400010,,,,,,,,,,
257,2019/3/28,400002,,,,,,,,,,
258,2019/3/29,400026,,,,,,,,,,
259,2019/3/30,400006,,,,,,,,,,
260,2019/3/31,400019,,,,,,,,,,
261,2019/4/1,400029,,,,,,,,,,
262,2019/4/2,400017,,,,,,,,,,
263,2019/4/3,400013,,,,,,,,,,
264,2019/4/4,400015,,,,,,,,,,
265,2019/4/5,400016,,,,,,,,,,
266,2019/4/6,400044,,,,,,,,,,
267,2019/4/7,400005,,,,,,,,,,
268,2019/4/8,400025,,,,,,,,,,
269,2019/4/9,400012,,,,,,,,,,
270,2019/4/10,400023,,,,,,,,,,
271,2019/4/11,400059,,,,,,,,,,
272,2019/4/12,400058,,,,,,,,,,
273,2019/4/13,400034,,,,,,,,,,
274,2019/4/14,400018,,,,,,,,,,
275,2019/4/15,400024,,,,,,,,,,
276,2019/4/16,400048,,,,,,,,,,
277,2019/4/17,400032,,,,,,,,,,
278,2019/4/18,400033,,,,,,,,,,
279,2019/4/19,400037,,,,,,,,,,
280,2019/4/20,400055,,,,,,,,,,
281,2019/4/21,400057,,,,,,,,,,
282,2019/4/22,400039,,,,,,,,,,
283,2019/4/23,400040,,,,,,,,,,
284,2019/4/24,400041,,,,,,,,,,
285,2019/4/25,400056,,,,,,,,,,
286,2019/4/26,400021,,,,,,,,,,
287,2019/4/27,400014,,,,,,,,,,
288,2019/4/28,400038,,,,,,,,,,
289,2019/4/29,400035,,,,,,,,,,
290,2019/4/30,400004,,,,,,,,,,
291,2019/5/1,400036,,,,,,,,,,
292,2019/5/2,400008,,,,,,,,,,
293,2019/5/3,400005,,,,,,,,,,
294,2019/5/4,400034,,,,,,,,,,
295,2019/5/5,400018,,,,,,,,,,
296,2019/5/6,400031,,,,,,,,,,
297,2019/5/7,400011,,,,,,,,,,
298,2019/5/8,400010,,,,,,,,,,
299,2019/5/9,400002,,,,,,,,,,
300,2019/5/10,400026,,,,,,,,,,
301,2019/5/11,400006,,,,,,,,,,
302,2019/5/12,400019,,,,,,,,,,
303,2019/5/13,400029,,,,,,,,,,
304,2019/5/14,400017,,,,,,,,,,
305,2019/5/15,400013,,,,,,,,,,
306,2019/5/16,400015,,,,,,,,,,
307,2019/5/17,400016,,,,,,,,,,
308,2019/5/18,400044,,,,,,,,,,
309,2019/5/19,400005,,,,,,,,,,
310,2019/5/20,400025,,,,,,,,,,
311,2019/5/21,400012,,,,,,,,,,
312,2019/5/22,400023,,,,,,,,,,
313,2019/5/23,400059,,,,,,,,,,
314,2019/5/24,400058,,,,,,,,,,
315,2019/5/25,400034,,,,,,,,,,
316,2019/5/26,400018,,,,,,,,,,
317,2019/5/27,400024,,,,,,,,,,
318,2019/5/28,400048,,,,,,,,,,
319,2019/5/29,400032,,,,,,,,,,
320,2019/5/30,400033,,,,,,,,,,
321,2019/5/31,400037,,,,,,,,,,
