Id,Mid,Type,Lock,NeedLv,NeedGold,NeedDiamond,NeedCrow,NeedCrow2,Musiclevel,RewarID,LocalMusicVer,Recommend,MusicCard,FavoriteRate,Playmark,Stylelabel,Fallingrate,TID,,GoldenSong,MusicTime,HomeOrder,VipMusicVersion,VipCn,MusicJson,Musician
37,100681,1,17,10,,,,3,4,2004,12,,,50,,,,,1,,,,,,Between the lines,Pi
38,100066,1,1,11,,,,,5,1005,,1,,38,1,23,,song_tag_4,1,,,,,,Four Seasons - Spring,Antonio Vivaldi
39,100029,1,1,11,,,,,8,20,,,,32,1,12,,song_tag_2,2,,,,,,Sonatina Op.36 No.3,Kuhlau
40,100030,1,1,11,,,,,8,20,,,,34,1,3,10,song_tag_6,2,,,,,,Etude Op.299 No.39,Czerny
41,100433,1,17,11,,,,3,5,2005,1,,7,133,3,9,,song_tag_22,1,1,,,,,Build The Dream,Shih Che Huang
42,100069,1,1,12,,,,,2,1002,,,,28,1,1,,song_tag_1,1,,,,,,A La Claire Fontaine,French Folk Music
43,100032,1,1,12,,,,,8,22,,1,,45,3,9,10,song_tag_22,2,,,,,,Csikos Post,Hermann Necke
44,100033,1,1,12,,,,,7,23,,,,57,1,13,10,song_tag_21,2,,,,,,Eine Kleine Nachtmusik,Mozart
45,100430,1,17,12,,,,4,4,2004,1,,14,164,1,9,,song_tag_22,1,1,,,,,Solitary Awakening,Kyrene
46,100070,1,1,13,,,,,3,1003,,,,27,1,1,,song_tag_1,1,,,,,,Simple Gifts,Joseph Brackett
47,100035,1,1,13,,,,,7,24,,,,30,1,3,10,song_tag_6,2,,,,,,Etude Op.10 No.4,Chopin
48,100038,1,1,13,,,,,7,27,,,,24,1,2,10,song_tag_2,2,,,,,,Prelude in E Major BWV 937,J.S. Bach
49,100343,1,17,13,,,,4,4,2004,,1,,138,1,45,,song_tag_17,1,1,,,,,Try,P!nk
50,100080,1,1,14,,,,,6,1005,,1,,25,1,2,,song_tag_2,1,,,,,,Sonata Pathetique Mvt.1,Beethoven
51,100041,1,1,14,,,,,7,30,,,,50,1,15,10,song_tag_24,2,,,,,,The Entertainer,Scott Joplin
52,100044,1,1,14,,,,,8,33,,1,,36,2,6,10,song_tag_4,2,,,,,,American Patrol,Frank Meacham
53,100441,1,17,14,,,,4,5,2005,1,,3,129,2,9,,song_tag_22,1,1,,,,,Stepping On The Rainy Street,The Daydream
54,100089,1,1,15,,,,,8,1008,,,,23,1,7,,song_tag_5,1,,,,,,Lyric Waltz,Shostakovich
55,100058,1,1,15,,,,,7,47,,1,,50,2,18,10,song_tag_9,2,,,,,,Humoresque No.7,Antonin Dvorak
56,100028,1,1,15,,,,,9,19,,1,,58,1,11,10,song_tag_4,3,,,,,,G minor Bach,Luo Ni
57,100072,1,17,15,,,,4,2,2002,,,,22,1,1,,song_tag_1,1,1,,,,,Yankee Doodle,American Folk Music
58,100103,1,1,16,,,,,4,1004,,,,24,1,7,,song_tag_5,1,,,,,,The Skater's Waltz,Emil Waldteufel
59,100061,1,1,16,,,,,6,45,,1,,29,1,19,10,song_tag_10,2,,,,,,Xinjiang Suite,Adapted by Congfei Wei
60,100031,1,1,16,,,,,9,21,,,,43,1,2,10,song_tag_2,3,,,,,,Sonata in C Major K545,Mozart
61,100176,1,17,16,,,,5,3,2003,,1,,35,1,1,,song_tag_1,1,1,,,,,Dreaming of Home and Mother,John Pond Ordway
62,100112,1,1,17,,,,,4,1004,,,,25,1,11,,song_tag_4,1,,,,,,Sweet Bye and Bye,Walter
63,100064,1,1,17,,,,,7,1006,,,,32,1,20,10,song_tag_25,2,,,,,,Liebestraum No.3,Franz Liszt
64,100034,1,1,17,,,,,8,22,,1,,51,1,9,10,song_tag_22,3,,,,,,The Fountain,Carl Bohm
65,100074,1,17,17,,,,5,2,2002,,1,,29,1,4,,song_tag_3,1,1,,,,,Auf Flugeln Des Gesanges,Mendelssohn
66,100129,1,1,18,,,,,6,1006,,1,,24,2,20,,song_tag_25,1,,,,,,Tzigane Dance,Carl Bohm
67,100067,1,1,18,,,,,6,1005,,1,,45,1,3,10,song_tag_6,2,,,,,,La Campanella,Franz Liszt
68,100036,1,1,18,,,,,8,25,,1,,32,1,14,10,song_tag_5,3,,,,,,Gypsy Rondo,Haydn
69,100704,1,17,18,,,,5,5,2005,14,,,50,,,,,1,,,,,,Simple Gift,Miu weiwei
70,100145,1,1,19,,,,,6,1006,,,,24,3,3,10,song_tag_6,1,,,,,,Etude Op.34 No.10,Shostakovich
71,100081,1,1,19,,,,,7,1007,,,,27,1,7,10,song_tag_5,2,,,,,,Waltz in E minor,Chopin
72,100037,1,1,19,,,,,10,26,,1,,42,1,7,10,song_tag_5,3,,,,,,Spanish Dances,Shostakovich
73,100358,1,17,19,,,,5,6,2006,,1,,59,2,49,,song_tag_17,1,1,,,,,Spirits Of The Wetlands,Wu Judy Chin - tai
74,100148,1,1,20,,,,,5,1005,,1,,22,3,17,,song_tag_8,1,,,,,,Inventions No.15,J.S. Bach
75,100104,1,1,20,,,,,8,48,,1,,23,1,1,10,song_tag_1,2,,,,,,Breeze,Chinese Folk Music
76,100039,1,1,20,,,,,8,28,,,,30,1,2,10,song_tag_2,3,,,,,,Sonata in A Major K331,Mozart
77,100661,1,17,20,,,,6,3,2003,11,,,50,1,,,,1,,,,,,Wiegenlied Op.49 No.4,Johannes Brahms
78,100157,1,1,21,,,,,6,1006,,,,20,1,7,,song_tag_5,1,,,,,,Waltz No.16,Chopin
79,100113,1,1,21,,,,,8,1008,,1,,21,1,7,10,song_tag_5,2,,,,,,Allemande,Handel
80,100040,1,1,21,,,,,10,29,,1,,43,2,7,10,song_tag_5,3,,,,,,Hungarian Dance No.5,Johannes Brahms
81,100087,1,17,21,,,,6,3,2003,,,,32,1,1,,song_tag_1,1,1,,,,,Red River Valley,Canadian Folk Music
82,100166,1,1,22,,,,,6,1006,,1,,18,1,9,,song_tag_22,1,,,,,,Carnaval Op.9 No.14,Robert Schumann
83,100121,1,1,22,,,,,7,1007,,,,23,2,2,10,song_tag_2,2,,,,,,Sonata in F Major Mvt.3,Mozart
84,100042,1,1,22,,,,,8,31,,,,32,2,1,10,song_tag_1,3,,,,,,Santa Lucia,Italian Folk Music
85,100432,1,17,22,,,,6,7,2007,1,1,6,176,1,9,,song_tag_22,1,1,,,,,Sitting Next To You,Handsome
86,100168,1,1,23,,,,,5,1005,,1,,31,3,7,,song_tag_5,1,,,,,,Bagpipe Dance,Leopold Mozart
87,100122,1,1,23,,,,,8,1008,,1,,22,1,3,10,song_tag_6,2,,,,,,Etude Op.10 No.8,Chopin
88,100043,1,1,23,,,,,10,32,,1,,47,2,1,10,song_tag_1,3,,,,,,Horse Racing,Chinese Folk Music
89,100342,1,17,23,,,,6,5,2005,,1,,55,2,46,,song_tag_11,1,1,,,,,Free Loop,Daniel Powter
90,100178,1,1,24,,,,,3,1003,,,,17,1,9,,song_tag_22,1,,,,,,The Happy Farmer,Robert Schumann
91,100130,1,1,24,,,,,7,1007,,,,21,1,2,10,song_tag_2,2,,,,,,Sonata in E minor Mvt.1,Haydn
92,100045,1,1,24,,,,,9,34,,,,27,2,2,10,song_tag_2,3,,,,,,Sonata No.34 - Finale,Haydn
93,100314,1,17,24,,,,7,6,2006,,1,,41,3,2,,song_tag_2,1,1,,,,,Longing for Spring K596,Mozart
94,100184,1,1,25,,,,,6,1006,,,,20,1,9,,song_tag_22,1,,,,,,The Wild Horseman,Robert Schumann
95,100131,1,1,25,,,,,8,1008,,1,,20,1,9,10,song_tag_22,2,,,,,,Knecht Ruprecht,Robert Schumann
96,100046,1,1,25,,,,,10,35,,,,31,2,7,10,song_tag_5,3,,,,,,Polka,Joseph Kuffner
97,100344,1,17,25,,,,7,6,2006,,1,,110,2,45,,song_tag_17,2,1,,,,,Bad Day,Daniel Powter
98,100185,1,1,26,,,,,6,1006,,,,18,2,3,,song_tag_6,1,,,,,,Etude No.23,Cramer
99,100146,1,1,26,,,,,7,1007,,1,,27,1,25,10,song_tag_8,2,,,,,,Fugue No.16 in G minor,J.S. Bach
100,100047,1,1,26,,,,,8,36,,,,25,2,7,10,song_tag_5,3,,,,,,Minuet No.3,J.S. Bach
101,100437,1,17,26,,,,7,8,2008,1,,4,121,2,9,,song_tag_22,2,1,,,,,If You Were By My Side,Chen-Chen Ho
102,100186,1,1,27,,,,,4,1004,,1,,22,1,7,,song_tag_5,1,,,,,,French Suite No.4-Gigue,J.S. Bach
103,100147,1,1,27,,,,,8,1008,,1,,20,2,2,10,song_tag_2,2,,,,,,Sonata in D Major K284,Mozart
104,100048,1,1,27,,,,,9,37,,,,34,1,6,10,song_tag_4,3,,,,,,Radetzky March,Johann Strauss
105,100594,1,17,27,,,,7,7,2007,8,1,,50,2,9,,song_tag_22,1,1,,,,,Miss Fox,Luo Ni
106,100201,1,1,28,,,,,2,1002,,,,17,1,11,,song_tag_4,1,,,,,,The Nightingale,Mikhail Glinka
107,100149,1,1,28,,,,,8,1008,,1,,20,1,3,10,song_tag_6,2,,,,,,Etude Op.6 No.8,Franz Liszt
108,100049,1,1,28,,,,,10,38,,,,46,2,16,10,song_tag_3,3,,,,,,Carmen Overture,Bizet
109,100350,1,17,28,,,,8,7,2007,,1,,75,1,45,,song_tag_17,2,1,,,,,Elves of Night,Wu Judy Chin - tai
110,100202,1,1,29,,,,,6,1006,,,,21,3,7,,song_tag_5,1,,,,,,Gertrude's dream waltz,Beethoven
111,100158,1,1,29,,,,,7,1007,,1,,20,1,26,,song_tag_6,2,,,,,,WTC1 No.3,J.S. Bach
112,100050,1,1,29,,,,,8,40,,,,26,1,17,10,song_tag_8,3,,,,,,Invention No.13,J.S. Bach
113,100466,1,17,29,,,,8,7,2007,2,1,,180,1,10,,song_tag_23,2,1,,,,,Symphony No.5 Mvt.1,Beethoven
114,100203,1,1,30,,,,,6,1006,,,,18,1,7,,song_tag_5,1,,,,,,Loure,J.S. Bach
115,100159,1,1,30,,,,,8,1008,,1,,24,1,27,10,song_tag_26,2,,,,,,Der Vogelfaenger bin ich ja,Mozart
116,100051,1,1,30,,,,,8,40,,,,28,2,12,10,song_tag_2,3,,,,,,Sonatina Op.36-3,Clementi
117,100412,1,17,30,,,,8,8,2008,,,,48,2,9,,song_tag_22,2,1,,,,,Interplanetary Wandering,Chen-Chen Ho
118,100210,1,1,31,,,,,2,1002,,,,23,3,4,,song_tag_3,1,,,,,,Craving for the Spring Wind,Yuxian Deng
119,100167,1,1,31,,,,,7,1007,,1,,20,1,9,10,song_tag_22,2,,,,,,Arabesque Op.76 No.9,Jean Sibelius
120,100052,1,1,31,,,,,10,41,,,,47,1,16,10,song_tag_3,3,,,,,,William Tell Overture,Gioachino Rossini
121,100697,1,17,31,,,,8,8,2008,13,,,50,,,,,3,,,,,,Smile Smile Smile,Jeon Su Yeon
122,100179,1,1,32,,,,,6,1006,,,,23,1,11,,song_tag_4,2,,,,,,Variations of Paganini,Berkovich
123,100180,1,1,32,,,,,8,1008,,1,,43,3,20,10,song_tag_25,2,,,,,,Penguin's Game,Unknown
124,100059,1,1,32,,,,,10,43,,,,71,1,2,10,song_tag_2,3,,,,,,Moonlight Sonata Mvt.3,Beethoven
125,100212,1,1,33,,,,,5,1005,,1,,27,3,2,10,song_tag_2,1,,,,,,Sonata in C Major K330 Mvt.1,Mozart
126,100211,1,1,33,,,,,7,1006,,,,24,2,7,10,song_tag_5,2,,,,,,Neopolitan Dance,Tchaikovsky
127,100062,1,1,33,,,,,10,1010,,1,,50,1,21,10,song_tag_11,3,,,,,,Fantaisie - Impromptu,Chopin
128,100221,1,1,34,,,,,1,1001,,,,18,1,9,10,song_tag_22,2,,,,,,Album Leaf,Kirchner
129,100065,1,1,34,,,,,9,1009,,1,,35,1,2,10,song_tag_2,3,,,,,,Appassionata Mvt.3,Beethoven
130,100068,1,1,34,,,,,9,1009,,,,36,1,20,10,song_tag_25,3,,,,,,Solfeggietto,C.P.E.Bach
131,100219,1,1,35,,,,,5,1005,,,,17,1,17,,song_tag_8,1,,,,,,Invention No.2,J.S. Bach
132,100071,1,1,35,,,,,8,1008,,1,,32,1,24,10,song_tag_1,3,,,,,,Hungarian Rhapsody No.6,Franz Liszt
133,100082,1,1,35,,,,,9,1009,,,,26,1,7,10,song_tag_5,3,,,,,,Clarinet Polka,Prohaska
134,100220,1,1,36,,,,,4,1004,,,,18,3,6,,song_tag_4,1,,,,,,Hands Across The Sea,Sousa
135,100222,1,1,36,,,,,8,1008,,,,18,1,9,10,song_tag_22,2,,,,,,Moment Musical Op.94 No.4,Schubert
136,100085,1,1,36,,,,,5,1005,,,,24,2,12,10,song_tag_2,3,,,,,,Sonatina Op.88 No.3,Kuhlau
137,100232,1,1,37,,,,,5,1005,,,,19,1,15,,song_tag_24,1,,,,,,Searchlight Rag,Scott Joplin
138,100233,1,1,37,,,,,6,1006,,,,20,1,23,,song_tag_4,2,,,,,,Bach Piano Concerto No.1,J.S. Bach
139,100090,1,1,37,,,,,9,1009,,,,41,1,14,10,song_tag_5,3,,,,,,Rondo A Capriccio Op.129,Beethoven
140,100105,1,1,38,,,,,10,1010,,1,,40,1,3,10,song_tag_6,3,,,,,,Etude de Virtuosite in E,Moszkowski
141,100114,1,1,38,,,,,9,1009,,,,24,1,11,10,song_tag_4,3,,,,,,Goldberg Variations,J.S. Bach
142,100132,1,1,38,,,,,9,1009,,1,,25,1,12,10,song_tag_2,3,,,,,,Sonatina Op.88 No.3 Mvt.3,Kuhlau
143,100240,1,1,39,,,,,1,1001,,,,16,1,7,,song_tag_5,1,,,,,,Walzer,FR.Bell
144,100241,1,1,39,,,,,7,1007,,,,19,1,9,10,song_tag_22,2,,,,,,Lively Spring Festival,Unknown
145,100242,1,1,39,,,,,8,1008,,1,,20,1,3,10,song_tag_6,2,,,,,,Etude Op.740 No.31,Czerny
146,100253,1,1,40,,,,,7,1007,,,,15,1,9,,song_tag_22,2,,,,,,Melody,Robert Schumann
147,100254,1,1,40,,,,,7,1007,,1,,22,3,3,,song_tag_6,2,,,,,,Etude Op.37 No.29,H. Lemoine
148,100150,1,1,40,,,,,9,1009,,1,,19,1,3,10,song_tag_6,3,,,,,,Etude Op.849 No.16,Czerny
149,100263,1,1,41,,,,,5,1005,,1,,19,3,9,,song_tag_22,1,,,,,,Heather Rose,G. Lange
150,100223,1,1,41,,,,,9,1009,,1,,20,2,7,10,song_tag_5,3,,,,,,Romanian Folk Dances No.6,Bela Bartok
151,100231,1,1,41,,,,,10,1010,,1,,28,2,7,10,song_tag_5,3,,,,,,3 Ecossaises Op.72 No.3,Chopin
152,100252,1,1,42,,,,,6,1006,,,,17,2,9,,song_tag_22,1,,,,,,Market,Gullit
153,100266,1,1,42,,,,,9,1009,,1,,18,1,15,10,song_tag_2,3,,,,,,Palm Leaf Rag,Scott Joplin
154,100281,1,1,42,,,,,9,1009,,1,,26,1,6,10,song_tag_4,3,,,,,,Soldaten Marsch,Robert Schumann
155,100262,1,1,43,,,,,6,1006,,,,17,1,26,,song_tag_18,1,,,,,,The Hebrides Overture,Mendelssohn
156,100261,1,1,43,,,,,6,1006,,,,40,2,9,,song_tag_22,2,,,,,,Carol of the Bells,Ukrainian Carol
157,100224,1,1,43,,,,,8,1008,,1,,27,1,26,10,song_tag_18,3,,,,,,Prelude Op.12 No.7,Sergei Prokofiev
158,100264,1,1,44,,,,,6,1006,,,,16,1,1,,song_tag_1,1,,,,,,"Home, Sweet home",Scotland Folk Music
159,100265,1,1,44,,,,,7,1007,,,,17,2,7,10,song_tag_5,2,,,,,,Mazurka Op.39 No.11,Tchaikovsky
160,100298,1,1,44,,,,,8,1008,,,,16,2,9,10,song_tag_22,3,,,,,,The music box,Ede Poldini
161,100276,1,1,45,,,,,4,1004,,,,14,1,1,,song_tag_1,1,,,,,,Old Folks at Home,American Folk Music
162,100277,1,1,45,,,,,4,1004,,,,15,1,9,,song_tag_22,1,,,,,,Troika E Major,Tchaikovsky
163,100278,1,1,45,,,,,5,1005,,,,15,1,9,,song_tag_22,1,,,,,,Hunting Song,Mendelssohn
164,100279,1,1,46,,,,,2,1002,,,,47,1,20,,song_tag_12,1,,,,,,Fall,Clack Chen
165,100280,1,1,46,,,,,6,1006,,,,18,1,28,,song_tag_21,2,,,,,,Romance,D. Auber
166,100308,1,1,46,,,,,9,1009,,1,,21,1,15,10,song_tag_2,3,,,,,,Elite Syncopations,Scott Joplin
167,100288,1,1,47,,,,,5,1005,,,,20,2,27,,song_tag_3,1,,,,,,Non Piu Andrai,Mozart
168,100289,1,1,47,,,,,6,1006,,,,18,1,1,,song_tag_1,1,,,,,,"Long, Long Ago",Thomas Haynes Bayly
169,100290,1,1,47,,,,,6,1006,,1,,33,3,14,,song_tag_5,2,,,,,,Rondo A Major,Johann Baptist Vanhal
170,100297,1,1,48,,,,,6,1006,,,,16,1,6,,song_tag_4,1,,,,,,March from Norma,Vincenzo Bellini
171,100299,1,1,48,,,,,5,1005,,,,16,3,27,,song_tag_26,1,,,,,,Barcarolle d'Hoffmann,Jacques Offenbach
172,100316,1,1,48,,,,,8,1008,,,,16,1,15,10,song_tag_24,3,,,,,,Magnetic Rag,Scott Joplin
173,100306,1,1,49,,,,,6,1006,,,,14,1,7,,song_tag_5,1,,,,,,Restless Galop,L. Streabbog
174,100307,1,1,49,,,,,6,1006,,,,16,1,26,,song_tag_18,1,,,,,,Prelude in g minor BWV930,J.S. Bach
175,100326,1,1,49,,,,,9,1009,,1,,17,2,6,10,song_tag_4,3,,,,,,Wiener March,Czerny
176,100315,1,1,50,,,,,6,1006,,,,14,1,27,,song_tag_3,1,,,,,,Andante from Orfeo ed Euridice,C.W.von.Gluck
177,100317,1,1,50,,,,,7,1007,,1,,20,1,7,10,song_tag_5,2,,,,,,Starlight Waltz,C.S. Brainard
178,100346,1,1,50,,,,,8,1008,,,,19,2,14,10,song_tag_5,3,,,,,,Rondo in C Major Op.51 No.1,Beethoven
179,100324,1,1,51,,,,,5,1005,,,,15,1,9,,song_tag_22,1,,,,,,Les Sylphes,Georges Bachmann
180,100325,1,1,51,,,,,6,1006,,,,15,1,27,,song_tag_26,1,,,,,,Va pensiero,Giuseppe Verdi
181,100352,1,1,51,,,,,8,1008,,,,20,2,1,10,song_tag_1,3,,,,,,Old King Cole,English Folk Music
182,100333,1,1,52,,,,,7,1007,,,,17,1,7,10,song_tag_5,2,,,,,,Emperor Waltz Op.437,Johann Strauss II
183,100334,1,1,52,,,,,5,1005,,,,16,1,14,,song_tag_5,1,,,,,,Rondo allegretto Op.168 No.1,Diabelli
184,100335,1,1,52,,,,,6,1006,,,,19,1,23,,song_tag_4,1,,,,,,Andante from Concerto No.21,Mozart
185,100347,1,1,53,,,,,5,1005,,,,23,3,14,,song_tag_5,1,,,,,,Rondo alla Turca Op.68 No.3,Friedrich Burgnlueller
186,100345,1,1,53,,,,,7,1007,,,,19,1,27,,song_tag_26,2,,,,,,Alles fuhlt der Liebe Freuden,Mozart
187,100388,1,1,53,,,,,8,1008,,,,31,2,7,10,song_tag_5,3,,,,,,Waltz in E flat Op.18 No.1,Chopin
188,100351,1,1,54,,,,,6,1006,,,,16,2,9,,song_tag_22,1,,,,,,Remembrance Op.68 No.28,Robert Schumann
189,100353,1,1,54,,,,,6,1006,,,,18,1,29,,song_tag_4,1,,,,,,String Quartet No.13 D.804,Schubert
190,100389,1,1,54,,,,,8,1008,,1,,30,1,9,10,song_tag_22,3,,,,,,Murmuring Brook,Ede Poldini
191,100360,1,1,55,,,,,7,1007,,,,20,2,7,,song_tag_5,2,,,,,,Anita's Dance,Grieg
192,100361,1,1,55,,,,,4,1004,,,,17,3,9,,song_tag_22,1,,,,,,Chanson Triste Op.40 No.2,Tchaikovsky
193,100362,1,1,55,,,,,8,1008,,,,22,2,13,10,song_tag_21,2,,,,,,La Serenata,Gaetano Braga
194,100369,1,1,56,,,,,7,1007,,,,19,1,7,,song_tag_5,2,,,,,,Valse Op.83 No.1,Auguste Durand
195,100370,1,1,56,,,,,8,1008,,1,,22,1,9,10,song_tag_22,2,,,,,,Le Coucou,Louis-Claude Daquin
196,100359,1,1,56,,,,,4,1004,,,,16,3,7,,song_tag_5,1,,,,,,Gavotte from Op.183 No.1,Carl Reinecke
197,100383,1,1,57,,,,,6,1006,,,,15,1,7,,song_tag_5,1,,,,,,Courante HWV 440,Handel
198,100384,1,1,57,,,,,5,1005,,,,16,3,27,,song_tag_26,1,,,,,,The Laughing Song,Johann Strauss II
199,100385,1,1,57,,,,,6,1006,,,,21,3,2,,song_tag_2,1,,,,,,Sonata in d minor K.9,Scarlatti
200,100387,1,1,58,,,,,7,1007,,,,19,2,13,,song_tag_21,2,,,,,,Serenata Op.15 No.1,Moszkowski
201,100396,1,1,58,,,,,8,1008,,,,17,1,7,10,song_tag_5,3,,,,,,Gavotte from Mignon,Ambroise Thomas
202,100405,1,1,58,,,,,8,1008,,1,,21,3,4,10,song_tag_3,3,,,,,,The Song of the Robin,George W. Warren
203,100382,1,1,59,,,,,7,1007,,,,16,1,3,,song_tag_6,2,,,,,,La Candeur Op.100 No.1,Friedrich Burgnlueller
204,100395,1,1,59,,,,,8,1008,,,,20,2,15,10,song_tag_24,2,,,,,,Sunflower Slow Drag,Scott Joplin
